,count,mean,std,min,25%,50%,75%,max
community_board,196.0,305.67857142857144,117.10098096766629,101.0,208.75,309.0,406.0,503.0
permit_year,196.0,2017.3673469387754,1.5714618711090496,2015.0,2016.0,2017.0,2019.0,2020.0
total_permits,196.0,1.9285714285714286,1.4232501627054273,1.0,1.0,1.0,2.0,8.0
new_buildings,196.0,1.9285714285714286,1.4232501627054273,1.0,1.0,1.0,2.0,8.0
major_alterations,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
avg_approval_lag,196.0,4.12593537414966,23.106014324867616,0.0,0.0,0.0,0.0,285.0
permit_growth_yoy,196.0,0.20057094266277942,0.9093794551010275,-0.875,0.0,0.0,0.0,5.0
permits_3yr_avg,196.0,1.913265306122449,1.1085602150241194,1.0,1.0,1.5,2.333333333333333,6.0
avg_lot_area,196.0,8278.099053310703,5327.439471580878,3127.17668997669,4609.928232058014,6597.443209876543,9601.363003095976,29768.938461538462
avg_bldg_area,196.0,16645.646084958167,21091.855236168747,2723.2910288065827,5180.266448872916,7697.120582877958,19268.1462328767,113119.87899159628
avg_floors,196.0,3.977065657831664,3.3998964897396946,1.8001209865053514,2.2640112440428912,2.773758782201405,3.62448132780083,17.42948717948718
avg_building_age,196.0,80.0381253270718,14.176350562814962,39.8960396039604,71.11200713856829,82.79287486020704,89.21642875350497,103.05755395683454
pct_vacant,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
avg_assessed_value,196.0,1792296.3105126126,3092846.3872168786,124151.64780909278,316985.8787977785,534465.0079021157,1667548.9363867685,15214151.655462185
avg_value_per_sqft,196.0,217.82871278195915,328.6253478967741,14.412434371671392,46.520418651586056,78.69727037008421,196.19734490959576,1310.229577448555
avg_far_proxy,196.0,2.016078143674036,1.7530511447865205,0.4026919036615978,0.9335384578014156,1.456785332536129,2.172856907872075,8.00612873962573
avg_dist_to_subway_m,196.0,820.3048274737134,1012.1700641822762,169.9589293250421,321.47242367562217,433.61083930424064,728.4935314510424,4938.0400239303735
pct_within_800m_subway,196.0,0.755906573689811,0.3081243863383223,0.0,0.5945716709075488,0.9207920792079208,0.9963570127504554,1.0
num_lots,196.0,1787.4336734693877,1482.5496958639992,97.0,584.0,1538.0,2557.5,7857.0
borough_median_price,196.0,990538.2653061225,247441.01563921277,741500.0,741500.0,765000.0,1250000.0,1250000.0
borough_price_appreciation,196.0,0.11400717628889487,0.08210015786504396,0.0318956958454619,0.0643089460370567,0.0796290128193547,0.1465667344317557,0.2930711080819855
borough_num_sales,196.0,2707.668367346939,1070.9071003877555,648.0,3070.0,3070.0,3534.0,3534.0
high_development,196.0,0.3673469387755102,0.4833166420185833,0.0,0.0,0.0,1.0,1.0
within_800m_subway,196.0,0.8163265306122449,0.3882092688495757,0.0,1.0,1.0,1.0,1.0
